asin,Title,rate1,rate2,rate3,rate4,rate5,rating,totalreviews
B00F9RRVUG,Samsung a157V (AT&T Go Phone) No Annual Contract,28,18,34,51,164,3.5,299
B00FTV382C,"SAMSUNG GALAXY NOTE 3 , T-Mobile (locked) white",17,4,5,10,45,3.4,85
B00G9G0HTI,"Samsung ATIV S Neo I187 (16GB, 1GB RAM) 4.77 Display | Dual Camera | 2,000 mAh Battery | Windows 8.1 SmartPhone | 4G LTE | GSM Unlocked | Royal Blue",0,1,0,2,7,4,10
B00HE5834Y,Motorola Droid Ultra XT1080 16GB 4G LTE Android Smartphone W/ 10MP Camera - Black,6,1,1,5,17,3.5,30
B00HPP3QD6,Moto G - Verizon Prepaid Phone (Verizon Prepaid Only),64,25,48,126,509,4,773
B00HWEMZ1E,"Nokia Lumia Icon, Black 32GB (Verizon Wireless)",12,8,11,19,109,3.8,159
B00I2KY5TM,Nokia Lumia 928 32GB Unlocked GSM 4G LTE Windows 8 Smartphone - White,2,1,2,2,6,3.5,13
B00IZ1X21K,"Samsung Galaxy S5, G900P 16GB White - Sprint",4,3,0,0,3,3.7,5
B00JEHJMG8,Samsung Galaxy S4 16GB SPH-L720 4G LTE Android - Sprint (Blue),29,10,5,19,68,3.3,135
B00JH2WF0K,"Samsung Gusto 3, Dark Blue, Verizon Wireless",28,4,4,6,36,3.2,81
B00JH2WPO6,"Samsung ATIV SE, Silver 16GB (Verizon Wireless)",4,0,3,3,11,3.8,22
B00JS73V2U,"Motorola DROID MAXX, Black 16GB (Verizon Wireless)",25,11,24,46,152,4.1,263
B00JYR6GGM,"Samsung Gusto 3, Royal Navy Blue (Verizon Wireless Prepaid) - Discontinued by Manufacturer",75,14,20,36,114,3.3,262
B00K0NS0P4,"Motorola Moto G (1st Generation) Unlocked Cellphone, 8GB, White",1,2,0,3,4,4,1
B00KM10ITK,Nokia Lumia 635 8GB Unlocked GSM 4G LTE Windows 8.1 Quad-Core Phone - Black,132,42,42,149,323,3.5,693
B00LAEA84S,Samsung Galaxy S5 G900V Verizon 4G LTE Smartphone w/ 16MP Camera - Black - Verizon,177,52,55,78,255,3.2,627
B00LIYEMTC,Sony Xperia Z2 - Unlocked (White),1,0,0,0,4,3.2,5
B00MWI4HW0,"Motorola Moto G (2nd generation) Unlocked Cellphone, 8GB, Black",0,1,0,1,8,4.1,3
B00MWI4KKE,"Motorola Moto X (2nd generation) XT1097 GSM Unlocked Cellphone, 16GB, Black Soft Touch",62,16,27,80,239,3.5,428
B00N532A34,"Samsung Galaxy Alpha, Frosted Gold 32GB (AT&T)",19,11,14,12,57,3.1,113
B00N532DU4,"Samsung Galaxy Mega 2, Brown Black 16GB (AT&T)",22,12,9,10,52,3.2,106
B00NKR9MJA,"Samsung Galaxy Note 4, Frosted White 32GB (Sprint)",52,7,10,29,122,3.2,227
B00NKRE7MW,"Samsung Galaxy Note 4, Frosted White 32GB (Verizon Wireless)",6,0,0,1,3,3.4,1
B00NO2WXM4,"Motorola Moto X - 2nd Generation, Black Resin 16GB (Verizon Wireless)",11,4,7,24,78,3.9,124
B00O15MWOM,Nokia Lumia 530 White - No Contract (T-Mobile),85,32,44,54,157,3.2,378
B00O2ALRNS,"Samsung Galaxy S4 SGH-I337 USA GSM Unlocked Cellphone, 16GB, Frost White",62,15,10,13,72,2.8,175
B00O2SW2IY,Verizon 4G LTE Moto Luge by Motorola Prepaid Smartphone,10,1,5,7,8,3.1,31
B00OEK6TWU,Samsung Galaxy Note 3 N900A 32GB Unlocked GSM Octa-Core Smartphone w/ 13MP Camera - Black,70,21,25,42,264,3.6,431
